DebayerTime,fMapTime,iMapTime
1049,4846,4491
1038,5422,4570
1060,4925,4576
1056,4907,5982
1286,5824,4634
1051,4925,4978
1045,6385,4645
1044,4983,4586
1072,5241,4968
1236,7586,5672
1292,6298,6938
1324,6776,7002
1269,7433,6069
1242,8095,7028
1071,5300,6162
1221,7111,5704
1230,5878,5674
1241,7501,6771
1322,8201,6786
1217,5836,5393
1195,6294,6615
1279,7357,5293
1295,7217,5595
1270,6223,4458
1329,4734,4452
1223,4813,4468
1201,5005,4471
1192,5120,4508
1155,4770,4385
1145,4717,4693
1153,5147,4484
1266,4755,4376
1223,4823,4528
1206,5045,4469
1294,4801,4463
1195,4896,4436
1175,4682,4519
1191,5130,4477
1034,4755,4367
1132,4698,4367
1151,4869,4678
1150,5126,4457
1240,4769,4378
1222,4688,4528
1296,5145,4507
1201,4795,4433
1192,4756,4381
1259,4890,4653
1182,5036,4467
1147,4733,4361
1108,4710,4678
1185,5357,4522
1470,4751,4440
1247,4789,4391
1169,4799,4716
1175,5079,4460
1146,4792,4390
1228,4744,4382
1202,4719,4642
1214,5218,4697
1282,4821,4576
1175,4889,4700
1322,5185,4664
1149,4747,4395
1193,4829,4673
1155,4847,4834
1332,5164,4543
1145,5168,4401
1220,4708,4737
1180,5268,4465
1123,4848,4456
1235,4689,4645
1199,5235,4542
1311,4841,4411
1219,4763,4371
1210,4807,4756
1156,4948,4515
1108,4803,4480
1160,4745,4404
1219,4796,4819
1296,5145,4513
1121,4708,4373
1136,4761,4721
1258,5228,4545
1125,4814,4461
1176,4696,4564
1134,4945,4493
1295,4802,4469
1221,4698,4385
1218,4668,4550
1284,5234,4510
1217,4931,4706
1158,4767,4435
1154,4690,4637
1186,5076,4421
1172,4933,4610
1216,4662,4543
1247,5111,4479
1200,4824,4464
1168,4722,4407
1322,4795,4642
1197,5035,4458
1124,4789,4368
1182,4735,4468
1207,5101,4752
1250,4965,4711
1266,4841,4565
1149,4837,4786
1302,5188,4724
1151,4869,4642
1283,4814,4784
1204,5088,4492
1217,4689,4387
1183,4653,4947
1146,5079,4505
1311,4796,4460
1229,4726,4417
1212,4702,4651
1255,5059,4441
1179,4876,4558
1174,4686,4547
1142,5037,4475
1030,4850,4464
1218,4786,4440
1221,4869,4820
1357,5098,4514
1168,4796,4374
1139,4673,4725
1178,5317,4548
